zgbh,icid
1331692   ,1786101371
1332660   ,4138015838
1335970   ,0006200321
1336037   ,4130404318
1336039   ,3209094642
1336047   ,0313220922
1336111   ,3503633290
1336113   ,2674072347
1336250   ,0758623290
1336314   ,2670278347
1336334   ,0310908938
1336560   ,0868594827
1336566   ,2465952272
1336636   ,1785623531
1336766   ,0759710474
1336793   ,0969486171
1336795   ,3527922862
1336926   ,0876245563
1337494   ,4287003886
1337528   ,2672833259
1337596   ,0258529082
1303877   ,2755315754
1306470   ,0752932554
1309415   ,3529645310
1309875   ,0752183242
1310039   ,0313198954
1310140   ,1115216878
74139     ,1359879194
1322478   ,1788302555
1322914   ,2675888875
1325515   ,1768804731
1326346   ,4136652638
1326828   ,0867717211
1329790   ,0762197402
1329840   ,0869275371
1329976   ,0967748555
1330116   ,0968699083
1330137   ,3284868993
1330144   ,3530904286
1330180   ,1767860107
1330237   ,0980995739
1330262   ,1784875227
1330312   ,3535352926
1330430   ,1762999435
1330441   ,4134602894
1330498   ,1784734427
1330587   ,0960592485
1330594   ,3536136990
1330630   ,0969523771
1330655   ,1790366811
1330687   ,2674292571
1330773   ,4027096385
1330780   ,1349568714
1330832   ,0873297051
1330849   ,1785306795
1330856   ,1788652539
1330874   ,4137251854
1330992   ,3530294382
1331024   ,1785877291
1331081   ,0978042523
1331092   ,4137108126
1331099   ,0884353979
1331106   ,1785613147
1331116   ,1786998955
1336792   ,2675488667
1337092   ,4131086558
1337281   ,4139665598
1337452   ,2468915952
1337595   ,1766317835
1337656   ,2057069488
1337838   ,4282153390
1337851   ,0983794987
1337865   ,0968905531
1337876   ,1785389083
1337890   ,1788302891
1338103   ,2061908896
1341021   ,4130674350
1311803   ,4138377246
1312047   ,0486103707
1313105   ,2920277681
1314825   ,0969335067
1315159   ,3537256078
1316667   ,3037196746
1317061   ,0334556321
1317110   ,1650822981
1317171   ,4131094030
1317998   ,4130944334
1318684   ,2674254363
1318698   ,2670074891
1318702   ,1782785403
1318727   ,0869251275
1318741   ,1780189051
1318766   ,2472613168
1318777   ,0873073499
1318802   ,4288972814
1318816   ,3529644382
1318834   ,3531303310
1318866   ,2672100683
1318984   ,2674660539
1319052   ,0868070571
1319089   ,0874524603
1319114   ,0874559387
1319439   ,0867946155
1319977   ,2674953883
1320045   ,2675513803
1320427   ,2673272219
1331568   ,1789169915
1331570   ,0873683019
1332036   ,0882205307
1332068   ,1781926459
1332115   ,2676002715
1332247   ,2984533489
1332281   ,4130926494
1332300   ,0968228747
1332313   ,1790229515
1332364   ,0868815003
1332411   ,4136068270
1332413   ,3247427027
1332445   ,1768607819
1332464   ,0969467195
1332481   ,0758218714
1332496   ,0758536058
1332547   ,0869745867
1332562   ,1765776299
1332822   ,2472540384
1332869   ,2975700753
1332888   ,0965738443
1332903   ,2673931227
1332937   ,0968059371
1332956   ,4138270494
1333090   ,3208521138
1333137   ,0968811675
1333215   ,3537239150
1333281   ,4129739774
