EMP_CD,START_DATE,CLASS_CD
1280168,2017/8/27 0:00:00,"305,305,305,305,305,305,305,305,305,305,305,305,305,305,305,"
1280194,2017/8/27 0:00:00,"113,113,113,113,113,113,113,113,113,113,113,113,113,113,113,"
1280210,2017/8/27 0:00:00,"305,305,305,305,305,305,305,305,305,305,305,305,305,305,305,"
1280240,2017/8/27 0:00:00,"305,305,305,305,305,305,305,305,305,305,305,305,305,305,305,"
1280271,2017/8/27 0:00:00,"124,124,124,124,124,124,124,124,124,124,124,124,124,124,124,"
1280324,2017/8/27 0:00:00,",305,305,305,305,305,305,,,,,,,,,"
1280325,2017/8/27 0:00:00,"113,113,113,113,113,113,113,113,113,113,113,113,113,113,113,"
1280329,2017/8/27 0:00:00,"113,305,305,305,305,305,305,305,305,305,305,305,305,305,305,"
1280331,2017/8/27 0:00:00,"305,305,305,305,305,305,305,305,305,305,305,305,305,305,305,"
1280332,2017/8/27 0:00:00,"108,108,108,108,108,108,108,108,108,108,108,108,108,108,108,"
1280337,2017/8/27 0:00:00,"113,113,113,113,113,113,113,113,113,113,113,113,113,113,113,"
1280341,2017/8/27 0:00:00,"113,113,113,113,113,113,113,113,113,113,113,113,113,113,113,"
1280405,2017/8/27 0:00:00,"124,124,124,124,124,124,124,124,124,124,124,124,124,124,124,"
1280409,2017/8/27 0:00:00,"105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,"
1280420,2017/8/27 0:00:00,"105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,"
1280421,2017/8/27 0:00:00,"113,113,113,113,113,113,113,113,113,113,113,113,113,113,113,"
1280422,2017/8/27 0:00:00,"105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,"
1280429,2017/8/27 0:00:00,"105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,"
1280430,2017/8/27 0:00:00,"312,312,312,312,312,312,312,312,312,312,312,312,312,312,312,"
1280440,2017/8/27 0:00:00,"303,303,303,303,303,303,303,303,303,303,303,303,303,303,303,"
1280441,2017/8/27 0:00:00,"115,115,115,115,115,115,115,115,115,115,115,115,115,115,115,"
1280443,2017/8/27 0:00:00,"105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,"
1280447,2017/8/27 0:00:00,"115,115,115,115,115,115,115,115,115,115,115,115,115,115,115,"
1280460,2017/8/27 0:00:00,"312,312,312,312,312,312,312,312,312,312,312,312,312,312,312,"
1280474,2017/8/27 0:00:00,",305,305,305,305,305,305,,,,,,,,,"
1280475,2017/8/27 0:00:00,",305,305,305,305,305,305,,,,,,,,,"
1280480,2017/8/27 0:00:00,"312,312,312,312,312,312,312,312,312,312,312,312,312,312,312,"
1280485,2017/8/27 0:00:00,"105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,"
